Category,Budget
Rewards,5000
Charity,2000
Gifts,1000
Gas,4500
Automotive Maintenance,8000
Auto Accident,10000
Parking,1800
Taxi and Ride Share,6000
Property Taxes,137211
Insurance,300000
Home Improvement,50000
Misc Maintenance,5000
Pool Maintenance,12500
Gardening Maintenance,15000
Gallo Maintenance,50000
Power and Water,25000
Phone,2800
Internet,1000
Subscriptions,7500
Natural Gas,18000
Groceries,35000
Restaurants,65000
Travel,200000
Entertainment,20000
Airfaire and Transportation,100000
Shopping,70000
Clothing,70000
Electronics,10000
Postage and Handling,1000
Pet Food and Treats,6000
Pet Health,3000
Pet Wash,6760
Education,56000
Child Activities,6000
Kids Allowance,2000
Tutoring,30000
Health and Medical,15000
Personal Care,30000
Employee Wages,215000
Employee Gifts,30000
Cash and ATM,30000
Employee Misc,20000
Financial Services,1000
Business Services,5000
Categorized but not Budgeted,1000